,id,neo_reference_id,name,designation,nasa_jpl_url,absolute_magnitude_h,is_potentially_hazardous_asteroid,close_approach_data,is_sentry_object,links.self,estimated_diameter.kilometers.estimated_diameter_min,estimated_diameter.kilometers.estimated_diameter_max,estimated_diameter.meters.estimated_diameter_min,estimated_diameter.meters.estimated_diameter_max,estimated_diameter.miles.estimated_diameter_min,estimated_diameter.miles.estimated_diameter_max,estimated_diameter.feet.estimated_diameter_min,estimated_diameter.feet.estimated_diameter_max,orbital_data.orbit_id,orbital_data.orbit_determination_date,orbital_data.first_observation_date,orbital_data.last_observation_date,orbital_data.data_arc_in_days,orbital_data.observations_used,orbital_data.orbit_uncertainty,orbital_data.minimum_orbit_intersection,orbital_data.jupiter_tisserand_invariant,orbital_data.epoch_osculation,orbital_data.eccentricity,orbital_data.semi_major_axis,orbital_data.inclination,orbital_data.ascending_node_longitude,orbital_data.orbital_period,orbital_data.perihelion_distance,orbital_data.perihelion_argument,orbital_data.aphelion_distance,orbital_data.perihelion_time,orbital_data.mean_anomaly,orbital_data.mean_motion,orbital_data.equinox,orbital_data.orbit_class.orbit_class_type,orbital_data.orbit_class.orbit_class_description,orbital_data.orbit_class.orbit_class_range,name_limited,sentry_data
0,2021277,2021277,21277 (1996 TO5),21277,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2021277,16.1,False,"[{'close_approach_date': '1945-06-07', 'close_approach_date_full': '1945-Jun-07 22:35', 'epoch_date_close_approach': -775272300000, 'relative_velocity': {'kilometers_per_second': '15.509475255', 'kilometers_per_hour': '55834.1109179878', 'miles_per_hour': '34693.1451979019'}, 'miss_distance': {'astronomical': '0.0334232931', 'lunar': '13.0016610159', 'kilometers': '5000053.456145697', 'miles': '3106889.1492847386'}, 'orbiting_body': 'Mars'}]",False,http://www.neowsapp.com/rest/v1/neo/2021277?api_key=EtSDBzChRyQL87tRvf6vAemUDFCJujscffspj9i5,1.6016033798,3.5812940302,1601.6033797856,3581.2940301941,0.9951898937,2.2253122528,5254.6044325359,11749.652706022,165,2020-08-02 06:25:53,1990-02-04,2020-05-13,11056.0,659,0,.313031,3.267,2459000.5,.5205881328788736,2.376601474329985,20.9522649964117,167.3841289832412,1338.236805731597,1.13937095021136,250.1729632865032,3.613831998448611,2458492.539291811604,136.6468581379752,.2690106851479045,J2000,AMO,Near-Earth asteroid orbits similar to that of 1221 Amor,1.017 AU < q (perihelion) < 1.3 AU,,
1,2162038,2162038,162038 (1996 DH),162038,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2162038,16.6,False,[],False,http://www.neowsapp.com/rest/v1/neo/2162038?api_key=EtSDBzChRyQL87tRvf6vAemUDFCJujscffspj9i5,1.2721987854,2.844722965,1272.1987853936,2844.7229650327,0.7905074315,1.7676283535,4173.8806630706,9333.0808925979,254,2020-05-26 08:20:27,1996-02-18,2020-04-25,8833.0,1170,1,.135023,4.293,2459000.5,.2766900137323586,1.586813070911491,17.23326680059163,309.2903552299683,730.107955454301,1.147757740530304,351.5495097631112,2.025868401292677,2459176.565269603596,273.1861301006437,.4930777665283681,J2000,AMO,Near-Earth asteroid orbits similar to that of 1221 Amor,1.017 AU < q (perihelion) < 1.3 AU,,
2,2189058,2189058,189058 (2000 UT16),189058,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2189058,16.5,False,[],False,http://www.neowsapp.com/rest/v1/neo/2189058?api_key=EtSDBzChRyQL87tRvf6vAemUDFCJujscffspj9i5,1.332155667,2.978790628,1332.1556669813,2978.7906279817,0.8277628989,1.8509341113,4370.5895984589,9772.9354439076,131,2020-05-22 09:03:02,1996-11-19,2020-05-21,8584.0,676,0,.538031,3.108,2459000.5,.5118219248656667,2.56922152100571,26.23457658555281,257.2698782920098,1504.183268887656,1.254237616718272,91.24859779633702,3.884205425293149,2459278.734073290831,293.4095329628478,.2393325384254674,J2000,AMO,Near-Earth asteroid orbits similar to that of 1221 Amor,1.017 AU < q (perihelion) < 1.3 AU,,
3,2276274,2276274,276274 (2002 SS41),276274,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2276274,17.2,False,[],False,http://www.neowsapp.com/rest/v1/neo/2276274?api_key=EtSDBzChRyQL87tRvf6vAemUDFCJujscffspj9i5,0.9650614696,2.1579430484,965.0614695789,2157.9430484443,0.5996612104,1.34088323,3166.2122718533,7079.8658710581,128,2020-10-04 06:57:13,2002-09-11,2020-10-04,6598.0,611,0,.601811,2.993,2459000.5,.382710832120621,2.104710773069775,63.68500842154148,190.107085675894,1115.288086017504,1.299215161735006,101.7860063318202,2.910206384404544,2459093.016743925837,330.1368388752082,.322786555790707,J2000,AMO,Near-Earth asteroid orbits similar to that of 1221 Amor,1.017 AU < q (perihelion) < 1.3 AU,,
4,2322913,2322913,322913 (2002 CM1),322913,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2322913,16.7,False,[],False,http://www.neowsapp.com/rest/v1/neo/2322913?api_key=EtSDBzChRyQL87tRvf6vAemUDFCJujscffspj9i5,1.214940408,2.7166893409,1214.9404079963,2716.6893408911,0.7549287363,1.6880719724,3986.0250881707,8913.0230571693,47,2019-01-31 08:16:35,2002-02-03,2019-01-24,6199.0,139,0,.577928,3.097,2459000.5,.461920311152711,2.299413042700367,45.00039322133971,308.1421378366831,1273.573202796894,1.237267454547611,84.19797366483287,3.361558630853122,2458482.209254870466,146.5048635106909,.2826692640905165,J2000,AMO,Near-Earth asteroid orbits similar to that of 1221 Amor,1.017 AU < q (perihelion) < 1.3 AU,,
5,2435730,2435730,435730 (2008 UK90),435730,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2435730,18.9,False,[],False,http://www.neowsapp.com/rest/v1/neo/2435730?api_key=EtSDBzChRyQL87tRvf6vAemUDFCJujscffspj9i5,0.4411182,0.9863702813,441.1181999969,986.3702813054,0.2740980571,0.6129018881,1447.2382352778,3236.1230737181,21,2017-04-12 06:15:44,2007-08-15,2015-06-08,2854.0,62,1,.562229,3.545,2459000.5,.3712443228845679,2.003774487847362,34.6532328130074,48.82392530403121,1036.028472816094,1.259884584893097,91.34327992320877,2.747664390801628,2459079.194780746868,332.655074824472,.3474807975320034,J2000,AMO,Near-Earth asteroid orbits similar to that of 1221 Amor,1.017 AU < q (perihelion) < 1.3 AU,,
6,2451297,2451297,451297 (2010 TK54),451297,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2451297,19.2,True,[],False,http://www.neowsapp.com/rest/v1/neo/2451297?api_key=EtSDBzChRyQL87tRvf6vAemUDFCJujscffspj9i5,0.3841978911,0.8590926012,384.1978910643,859.0926012318,0.2387294278,0.5338152287,1260.4918089193,2818.5453698252,24,2017-04-06 09:20:08,2010-10-08,2015-11-09,1858.0,69,1,.0135957,3.715,2459000.5,.4952001922173939,1.840341326169751,30.80183982595386,28.16956502806046,911.8974364307537,.9290039477048767,222.967030830588,2.751678704634625,2458887.832809816679,44.47889296054142,.3947812392247438,J2000,APO,Near-Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,a (semi-major axis) > 1.0 AU; q (perihelion) < 1.017 AU,,
7,2452307,2452307,452307 Manawydan (1997 XV11),452307,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2452307,18.2,False,[],False,http://www.neowsapp.com/rest/v1/neo/2452307?api_key=EtSDBzChRyQL87tRvf6vAemUDFCJujscffspj9i5,0.6089126221,1.3615700154,608.9126221057,1361.5700153859,0.3783606449,0.846040122,1997.7448871092,4467.0933692788,44,2019-09-24 07:56:55,1997-12-05,2019-07-05,7882.0,138,0,.583137,3.600,2459000.5,.3180407803580325,1.86695309618328,44.26500691994487,241.2472250821777,931.7481469463145,1.273185876581304,270.1570320265492,2.460720315785255,2459313.408195934175,239.1015030129236,.3863705027800206,J2000,AMO,Near-Earth asteroid orbits similar to that of 1221 Amor,1.017 AU < q (perihelion) < 1.3 AU,Manawydan,
8,2452421,2452421,452421 (2002 VX99),452421,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2452421,18.4,False,[],False,http://www.neowsapp.com/rest/v1/neo/2452421?api_key=EtSDBzChRyQL87tRvf6vAemUDFCJujscffspj9i5,0.5553349116,1.2417666126,555.334911581,1241.766612574,0.3450690093,0.7715977618,1821.9649913114,4074.0375731972,40,2020-01-30 14:27:08,2002-11-01,2020-01-28,6297.0,142,0,.516625,3.088,2459000.5,.5117753256012763,2.632957002913491,24.49524071390701,234.3221660267528,1560.501093581767,1.285474575453279,259.8862702649891,3.980439430373703,2458952.353976216485,11.10705313399213,.2306951283024761,J2000,AMO,Near-Earth asteroid orbits similar to that of 1221 Amor,1.017 AU < q (perihelion) < 1.3 AU,,
9,2453100,2453100,453100 (2007 WU4),453100,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2453100,18.9,False,[],False,http://www.neowsapp.com/rest/v1/neo/2453100?api_key=EtSDBzChRyQL87tRvf6vAemUDFCJujscffspj9i5,0.4411182,0.9863702813,441.1181999969,986.3702813054,0.2740980571,0.6129018881,1447.2382352778,3236.1230737181,31,2017-04-06 09:20:04,2007-11-19,2016-01-01,2965.0,98,0,.509168,3.091,2459000.5,.5061366082762225,2.555363777180177,29.22224917258454,66.99377756542738,1492.029906506152,1.262000622086286,283.2089939607603,3.848726932274069,2458788.015182019607,51.26876756248583,.2412820268750529,J2000,AMO,Near-Earth asteroid orbits similar to that of 1221 Amor,1.017 AU < q (perihelion) < 1.3 AU,,
